City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
Hyderabad,8.38,19.95,1.62,11.42,7.32,10.7,0.2,4.81,18.57,0.14,0.54,0,Good
Chandigarh,13.98,34.24,1.92,12.77,7.76,38.87,0.62,14.57,7.74,3.94,0.16,1.41,Good
Delhi,181.44,297.48,12.56,33.25,36.38,144.01,7.08,3.83,25,2.21,5.11,3.89,Very Poor
Kolkata,8.18,17.13,6.73,8.75,15.47,11.96,0.35,3.54,23.68,18.02,14.42,0.87,Good
Delhi,69.75,229.29,8.08,24.24,19.93,26.25,0.9,11.83,91.43,1.86,18.38,0.14,Poor
Kolkata,25.93,52.32,6.26,22.17,28.42,7.23,0.48,3.52,35.6,14.2,15.69,31.76,Good
Amaravati,20.75,42.5,1.35,18.75,11.08,4.47,0.31,10.6,14.3,0,4.9,0.1,Good
Kolkata,9.51,20.15,94.62,13.72,19.54,17.6,0.41,3.34,15.34,18.04,7.74,2.12,Good
Kolkata,79.3,147.47,95.4,52.79,148.25,29.97,2.63,10.59,3.63,32.72,39.26,3.06,Poor
Delhi,89.23,149.62,18.71,19.24,42.86,28.73,6.75,4.33,31.94,2.94,13.4,26.03,Poor
Visakhapatnam,21,24,7.32,18.55,15.85,0.88,0.98,8.18,15.4,3.15,7.6,2.25,Good
Delhi,169.34,180.47,141.84,55.4,49.82,61.04,1.72,20.62,29.81,0.99,4.17,0.07,Very Poor
Delhi,173.65,438.58,175.83,90.94,193.61,48.52,4.15,18.14,32.36,13.17,94.78,3.1,Severe
Visakhapatnam,22.5,62.25,18.97,40.73,37.1,9.3,0.51,2.47,5.6,4.02,27.55,1.72,Satisfactory
Delhi,347.45,541.46,171.89,80.54,168.42,73.66,2.07,16.88,122.28,8.78,28.1,0,Severe
Hyderabad,9.35,18.65,2.66,9.68,7.3,9.75,0.28,9.29,23.83,0.14,0.48,0,Good
Delhi,258.63,400.25,12.88,65.54,48.35,53.6,1.58,28.12,80.47,6.65,37.12,0.63,Severe
Delhi,280.27,425.78,53.84,91.11,96.91,62.79,1.98,15.71,37.59,8.89,51.37,3.76,Severe
Delhi,64.69,73.19,12.67,37.97,49.89,31.31,5.55,8.29,42.08,1.95,12.84,1.67,Poor
Visakhapatnam,64.25,95.75,2.3,16.35,10.55,10.25,0.54,8.18,75.85,4.17,8.68,0.32,Moderate
Hyderabad,37.17,76.55,9.13,27.25,20.7,15.11,0.36,4.1,36.64,0.12,0.68,0,Satisfactory
Kolkata,17.82,37.03,48.35,23.65,51.5,21.28,0.49,2.85,7.75,14.42,13.59,1.61,Good
Delhi,254.9,465.11,142.75,88.09,174.38,51.94,3.78,19.99,26.68,8.99,74.98,1.66,Severe
Kolkata,9.98,19.34,4.9,8.76,13.65,8.37,0.36,3.29,25.73,17.77,14.91,1.04,Good
Delhi,28.08,67.08,12.88,28.72,28.09,26.15,0.82,9.41,17.96,1.68,13.04,0.41,Satisfactory
Hyderabad,19.12,57.3,2,10.19,5.97,10.94,0.28,4.58,33.46,0.07,0.36,0,Satisfactory
Delhi,69.56,233.89,31.61,30.79,66.36,26.1,1.04,18.52,58.44,2.9,9.38,2.84,Poor
Hyderabad,26.25,50.19,3.69,30.74,18.7,11.05,0.55,4.57,18.57,0.89,10.37,2.8,Satisfactory
Kolkata,29,51.44,6.95,20.28,27.48,10.4,0.42,2.69,14.68,23.78,8.18,2.37,Good
Delhi,287.09,504.34,125.49,92.57,149.78,51.03,3.64,15.18,27.55,8.51,75.87,2.35,Severe
Patna,87.11,108.05,38.32,23.08,60.8,27.61,2.35,6.52,21.59,1.46,0.66,3.45,Poor
Kolkata,101.14,192.51,23.23,58.73,81.98,25.85,0.54,15.67,60.28,23.71,33.8,2.67,Poor
Hyderabad,10.56,16.58,2.49,13.26,8.98,6.09,0.39,4.01,18.3,0.29,1.65,0.09,Good
Visakhapatnam,5.5,33.75,4.75,14.38,11.5,60.45,0.82,4.95,9.45,1.12,3.62,0.07,Good
Delhi,658.27,793.8,32.23,45.7,55.47,54.82,2.32,11.09,13.65,7.25,32.3,0.85,Severe
Patna,113.14,227.62,81.05,53.34,108.51,29.98,1.4,9.21,1.86,2.01,5.88,0.5,Poor
Delhi,154.7,276.43,12.03,33.4,33.56,145.12,9.59,4.22,20.28,3.03,5.1,3.64,Very Poor
Hyderabad,45.96,99.3,4.19,49.11,29.48,10.13,0.67,4.29,39.96,2.16,15.12,2.68,Moderate
Delhi,241.77,371.24,72.7,63.13,99.62,59.66,2.25,14.19,24.09,6.96,52.4,2.47,Severe
Delhi,298.88,417.34,122.28,80.17,122.13,105.72,3.13,18.91,25.43,8.39,26.88,0.1,Severe
Delhi,62.53,241.04,12.5,33.92,29.05,35.02,1.12,18.46,68.73,2.6,14.08,0.56,Poor
Patna,93.4,144.58,44.52,29.14,72.55,39.78,0.72,9.85,6.42,0.9,7,1.91,Poor
Delhi,14.43,47.48,14.7,21.67,28.23,29.33,0.87,7.91,29.75,1.19,12.66,4.68,Satisfactory
Visakhapatnam,11.25,45.5,0.72,14.03,7.97,8.02,0.11,5.62,13.9,2.12,2.52,0.65,Good
Visakhapatnam,73,94,3.17,28.8,17.15,18.57,1.17,31.5,102.7,5.85,8.62,6.12,Moderate
Hyderabad,66.75,104.75,5.42,37.1,8.05,19.05,0,22.3,61.2,0.03,0.75,0.08,Moderate
Hyderabad,23.5,85.45,2.66,14.28,9.32,18.06,0.34,3.6,25.65,0.29,4.46,7.29,Satisfactory
Hyderabad,44.67,82.05,10.23,35,25.48,15.53,0.57,4.67,25.61,0.17,1.11,0.01,Satisfactory
Delhi,294.66,410.81,106.2,57.93,127.92,52.56,1.87,12.34,21.4,8.01,45.07,2.12,Severe
Delhi,122.7,295.81,37.45,40.35,55.83,24.58,12.76,7.17,25.56,12.44,21.62,33.95,Poor
Visakhapatnam,26.5,66.5,1,11.47,6.95,16.93,0.11,2.98,52.73,1.95,5.15,1.28,Satisfactory
Visakhapatnam,49.5,130.5,2.5,17.88,11.53,11.75,0.69,9.05,118.4,1.05,1.45,0.15,Moderate
Kolkata,12.86,30.12,4.11,6.33,10.48,11.9,0.27,5.26,36.99,0.86,11.59,0.53,Good
Chandigarh,12.94,33.09,2.86,8.87,7.03,33.35,0.55,9.04,5.7,3.4,0.57,1.43,Good
Hyderabad,3.38,13.25,156.82,17.21,68.2,34.55,0.1,2.62,21.11,0,1.06,0,Good
Amritsar,137.27,276.57,3.93,29.35,33.28,3.25,1.53,5.27,18.68,5.83,10.08,8.46,Very Poor
Hyderabad,14.08,35.85,2.34,15.29,8.55,7.36,0.19,3.09,10.35,0.06,0.28,0,Good
Visakhapatnam,37,80,8.7,23.45,19.55,103.67,1.09,2.9,3.75,1.02,2.45,1.5,Satisfactory
Hyderabad,103.25,147.5,6.64,18.26,23.23,12.12,0.32,9.06,30.24,1.32,7.26,0.79,Moderate
Delhi,95.69,252.37,19.03,45.64,43.29,38.06,1.12,21,48.91,3.97,17.84,0.19,Poor
Hyderabad,9.94,20.19,1.62,7.72,5.14,7.83,0.37,2.66,28.19,0.16,0.66,0,Good
Delhi,72.85,301.97,22.91,29.17,37.93,27.1,1.2,13.82,14.5,2.96,27.61,3.47,Poor
Visakhapatnam,33.75,105.5,12.6,36.48,29.62,7.05,0.82,35.25,13.3,2.6,6.53,1.38,Moderate
Delhi,374.24,593.54,146.53,93.82,172.92,64.85,5.02,20.11,40.91,15.12,128.82,2.88,Severe
Delhi,335.64,522.36,124.53,89.97,162.42,87.31,2.58,22.82,105.88,8.53,28.99,0,Severe
Delhi,165.8,366.41,20.77,89.23,139.84,49.53,1.72,31.72,116.1,4.99,15.76,0,Severe
Delhi,113.24,106.56,13.49,48.82,34.98,63.15,2.7,14.86,36.39,1.35,1.46,0,Very Poor
Amaravati,26.75,42.5,3.08,12.4,9.12,7.92,0.59,6.9,43.85,0.33,1.15,0.1,Satisfactory
Hyderabad,30.95,63.12,3.41,21.98,14.46,18.86,0.67,6.14,29.29,0.35,1.1,0,Satisfactory
Delhi,167.16,248.15,7.87,18.01,32.83,38.35,6.2,13.17,19.83,5.6,14.85,2.27,Very Poor
Delhi,56.74,133.79,8.24,25.84,20.14,34.07,1.03,20.93,114.49,2.69,17.99,0.49,Poor
Hyderabad,6.67,35.42,1.37,9.78,3.16,3.18,0.12,6.69,30.29,0,0.22,0.01,Good
Delhi,250.97,359.22,32.1,50.14,3.88,52.66,1.27,14.26,60.53,3.64,9.41,0.24,Severe
Hyderabad,6.56,14.81,2,12.02,8.04,6.76,0.18,10.28,15.48,0.12,0.44,0,Good
Amritsar,1.08,26.3,13.5,9.19,22.7,10.72,0.44,8.38,9.25,2.65,1.12,2,Good
Visakhapatnam,4,32.5,1.8,17.3,9.72,5.5,0.11,1.77,21.02,1.98,8.07,1.75,Good
Hyderabad,41.33,150.45,1.03,20.38,11.64,10.8,0.48,4.18,71,0.4,3.28,0.87,Moderate
Kolkata,36.12,64.07,3.38,14.08,17.46,17.9,0.5,4.36,25.85,19.15,6.54,4.45,Satisfactory
Delhi,99,152.78,19.81,37.45,38.88,33.44,1.08,7.64,21.34,2.88,11.41,0,Poor
Hyderabad,39.33,73,4.36,21.86,14.72,11.33,0.49,4.03,27.59,1.79,8.04,0.56,Satisfactory
Kolkata,35.98,64.79,2.34,23.73,25.06,4.87,0.44,2.71,15.71,16.7,165.16,7.5,Satisfactory
Kolkata,10.22,24.77,3.88,7.02,10.94,16.58,0.27,5.62,33.02,0.78,11.03,0.56,Good
Kolkata,115,196.16,11.21,54.52,66.14,21.38,1.04,15.41,42.23,23.65,26.09,3.91,Poor
Delhi,141.76,167.29,9.05,26.21,23.32,10.15,14.07,10.33,24.88,1.87,7.95,5.69,Very Poor
Delhi,392.6,493.19,200.36,88.6,180.87,71.69,3.36,32.35,139.22,10.91,33.71,2.43,Severe
Delhi,78.62,118.09,28.21,70.01,64.25,35.12,1.48,16.69,20.96,3.86,36.29,1.12,Poor
Hyderabad,38.62,94,5.76,7.5,8.94,2.5,0.72,5.3,51.28,1.69,9.5,0.88,Moderate
Delhi,97.95,179.66,17.14,46.17,41.18,42.09,0.99,21.68,54.28,2.55,43.14,0.22,Poor
Amritsar,12.76,73.81,13.62,5.03,25.52,5.66,0.86,2.61,28.78,4.34,2.6,1.2,Satisfactory
Delhi,244.78,441.09,62.27,72.86,115.33,65.04,2.98,24.16,73.31,7.12,22.56,0,Severe
Delhi,239.02,372.16,84.38,48.46,100.89,45.85,1.98,10.33,25.14,7.24,34.63,0.67,Severe
Patna,108.33,168.95,62.54,42.97,102.92,36.6,1.12,9.3,7.51,2.43,9.74,3.55,Poor
Amritsar,21.59,43.75,16.88,9.52,24.94,12.48,0.55,8.65,22.14,1.68,1.92,2,Good
Hyderabad,28.33,99.45,1.28,23.27,13.33,9.44,0.31,2.88,44.98,0.31,2.9,0.59,Moderate
Amritsar,7.73,12.88,26.87,17.49,28.85,16.39,0.65,9.37,17,1.3,1.1,8.82,Good
Amaravati,5.25,29.25,4.33,30.23,19.6,1.75,0.35,11.85,40.62,0.1,2.23,0.1,Good
Delhi,237.13,364.28,45.06,75.71,80.72,62.74,1.85,22.12,26.14,7.84,32.72,0.72,Severe
Delhi,250.25,394.74,56.74,49.69,68.6,57.81,1.9,35.27,27.92,0.77,4.32,0.07,Severe
Amritsar,8.45,30.27,10.14,12.34,17.86,9.21,0.51,16.83,20.61,3.85,1.12,2,Good
Hyderabad,13.67,26.95,4.51,11.01,8.52,31.67,0.23,7.87,12.47,0.08,0.51,0,Good
Delhi,380.16,557.41,144.5,57.98,160.36,66.3,2.73,15.27,42.3,11.13,57.53,1.97,Severe
Delhi,317.02,512.4,87.22,117.51,147.67,58.02,2.72,25.34,36.1,10.93,84.5,4.88,Severe
Delhi,219.91,299.06,119.23,93.44,160.1,70.32,2.15,22.61,97.56,7.18,24.92,0,Severe
Hyderabad,15.15,40.62,2.09,15.66,10.03,5.46,0.23,5.15,23.36,0,0.23,0.02,Good
Delhi,290.9,453.52,45.61,89.16,91.99,63.72,1.94,28.53,48.27,8.53,63,2.04,Severe
Delhi,79.2,201.1,14.74,35.15,33.48,34.7,0.99,18.42,63.82,2.18,24.53,2.34,Poor
Delhi,38.63,84.23,9.88,21.98,21.04,44.75,0.92,12.11,60.83,1.57,13.29,0,Moderate
Amritsar,36.65,73.29,10.43,10.47,19.91,4.99,0.87,8.57,10.35,2.48,3.54,2,Satisfactory
Delhi,32.92,63.12,11.72,36.25,32.22,35.03,1.21,9.48,25.93,1.64,19.66,0.49,Satisfactory
Delhi,171.96,281.91,16.33,33.28,39.45,158.04,5.76,4.18,29.46,3.69,5.63,3.41,Very Poor
Hyderabad,34.17,72.25,5.52,30.47,20.67,11.11,0.55,5.03,26.85,1.14,4.41,0.61,Satisfactory
Delhi,99.01,290.28,29.48,47.88,79.3,17.67,1.25,9.49,72.31,3.43,11.58,3.93,Poor
Gurugram,37.66,72.35,4.44,12.36,11.29,50.42,0.64,17.31,97.92,4.6,8.07,19.66,Moderate
Amritsar,28.09,60.41,6.56,8.78,11.71,9.95,0.57,4.64,11.61,2.71,0.87,5.39,Satisfactory
Chandigarh,13.53,36.88,0.86,9.21,5.67,47.42,0.29,8.1,24.82,2.75,0.09,0.76,Good
Delhi,289.77,421.73,31.93,73.89,69.97,58.61,1.74,18.03,33.35,7.25,53.03,0.62,Severe
Amritsar,36.3,74.07,9.86,9.58,19.44,5.64,0.91,9.07,8.72,2.47,3.35,2,Satisfactory
Delhi,270.48,448.37,13.8,46.25,2.71,50.8,1.37,7.16,83.74,3.11,3.98,0,Severe
Visakhapatnam,64.25,131.5,5.2,33.98,22.3,7.68,0.8,32.85,14.25,1.93,2.5,0.6,Moderate
Delhi,429.3,492.9,136.46,73.85,191.12,62.47,2.67,36.34,117.24,9.43,21.62,1.25,Severe
Amritsar,9.54,57.41,32.71,11.73,38.4,13.58,0.74,6.03,22.14,1.34,1.48,2.01,Satisfactory
Delhi,390.66,639.39,30.66,84.08,97.72,60.99,1.97,112.67,136.36,5.29,10.08,0,Severe
Hyderabad,66,94,7.43,12.02,5.71,6.12,0.62,57.55,15.92,0,0.78,0.05,Moderate
Hyderabad,12.25,22.7,4.35,17.73,11.17,47.08,0.37,5.17,11.1,0.3,1.14,0.59,Good
Delhi,160.55,251.3,25.36,62.25,54.18,35.86,1.17,16.82,20.41,3.87,24.02,0.22,Very Poor
Delhi,50.8,135.81,9.95,29.16,25.75,33.49,1.07,10.39,36.8,1.85,10.93,0.42,Moderate
Amaravati,94.5,142,1.33,16.25,9.75,9.65,0.1,17,136.23,0.28,7.1,0.15,Moderate
Kolkata,9.4,21.88,3.79,6.46,10.24,8.12,0.27,3.35,19.23,22.09,16.43,1.51,Good
Delhi,173.87,310.57,13.79,57.22,61.27,38.57,1.04,29.61,69.43,2.72,5.99,0.1,Very Poor
Hyderabad,21.38,43.65,3.64,21.7,14.18,13.47,0.33,6.94,17.2,0.7,2.24,0.41,Good
Hyderabad,17.54,44.62,4.92,17.91,12.62,8.69,0.21,5.78,19.18,0.36,1.84,0.55,Good
Delhi,111.62,213.65,12.57,45.62,37.22,39.87,1.05,18.62,82.68,3.02,23.15,1.92,Poor
Kolkata,12.65,25.67,4.88,17.41,22.34,12.18,0.43,4.43,8.99,2.59,8.26,0.77,Good
Hyderabad,18.05,66.75,6.19,32.8,21.5,31.04,0.19,4.59,28.17,0.75,1.34,0.08,Satisfactory
Hyderabad,15.3,20.44,2.36,10.81,7.66,5.36,0.35,2.38,16.8,0.16,0.38,0.01,Good
Chandigarh,14.49,47.91,0.72,7.88,4.66,29.54,0.42,6.83,42.16,2.4,0.55,0.81,Good
Delhi,240.94,392.26,36.97,59.81,63.18,58.51,1.95,15.38,29.45,8.14,57.61,3.15,Severe
Delhi,27.43,95.3,7.1,15.29,15.38,24.66,0.59,19.09,48.5,1.29,8.6,0,Moderate
Kolkata,13.91,42.62,2.92,5.1,8.08,9.72,0.31,5.82,23.21,0.54,8.61,0.42,Good
Amritsar,14.75,24.8,20.16,10.54,28.72,12.77,0.82,5.91,22.14,1.35,1.85,2,Good
Hyderabad,14.25,29.5,3.39,22.53,7.38,5.65,0.04,6.92,21.55,1.22,6.92,1.11,Good
Hyderabad,15.38,46.5,143.29,4.77,47.54,4,0.06,2.09,37.33,0,0.18,0,Good
Hyderabad,33,108.5,12.6,48.6,11.02,22.4,0.37,27.7,30.8,0,0.42,0.02,Moderate
Delhi,329.4,468.03,39.28,59.89,66.93,53.85,1.74,11.95,28.43,6.11,41.11,1.42,Severe
Delhi,74.99,219.17,71.93,74.31,88.17,44.12,2.18,10.36,19.94,2.36,6.57,0.69,Poor
Hyderabad,14.5,45.08,1.63,8.19,2.84,4.33,0.2,3.84,49.8,0.05,0.6,0,Satisfactory
Kolkata,8.88,26.45,4.47,12.11,16.78,8.07,0.49,5.02,17.93,4.35,13.39,1.29,Good
Delhi,347.27,565.82,199.62,119.68,245.99,62.68,4.39,22.48,28.56,14.24,111.41,1.99,Severe
Hyderabad,80.58,174.25,4.54,56.31,33.02,14.99,0.84,16.79,34.39,7.15,58.84,9.26,Moderate
Gurugram,43.75,107.22,5.69,8.71,9.75,4.79,0.55,3.92,86.56,4.05,2.78,1.76,Moderate
Delhi,85.97,157.97,15.06,17.15,28.15,12.82,8.37,2.5,18.94,2.09,6.42,6.76,Poor
Visakhapatnam,42.75,81.25,3.1,36.7,21.03,8.4,0.48,13.17,13.15,3.55,16.57,1.9,Satisfactory
Kolkata,114.5,237.57,106.87,100.02,206.92,29.3,2.33,7.13,5.75,29.81,37.42,6.98,Poor
Delhi,294.06,500.73,13.65,45.99,53.77,55.76,1.6,18.24,88.64,3.3,7.53,0,Severe
Delhi,248.82,414.81,23.41,53.16,51.17,50.53,1.91,13.55,41.27,5.23,26.61,0.56,Severe
Hyderabad,16.3,46.33,3.98,17.25,11.98,9.69,0.31,4.93,24.9,0.3,1.38,0.11,Good
Delhi,134.43,225.55,15.5,33.31,37.97,140.96,9.78,3.78,32.28,3.22,4.92,3.02,Very Poor
Delhi,53.91,131.74,15.12,34.39,33.33,38.85,0.88,9.36,23.01,2.29,20.63,1,Moderate
Patna,161.77,226.05,106.09,35.25,140.21,35.52,1.29,11.18,8.58,1.43,9.48,2.95,Very Poor
Hyderabad,3.33,9.08,1.67,8.7,2.99,3.95,0.17,3.32,25.6,0,0.92,0.34,Good
Delhi,138.05,192.73,17.57,39.36,50.5,44.5,1.36,14.58,38.04,2.44,5.89,0,Very Poor
Amaravati,9.25,22.25,2.75,8.12,6.58,6.12,0.38,17.52,26.45,0.22,0.55,0.1,Good
Delhi,152.99,276.05,38.66,92.16,77.86,51.48,1.2,26.84,74.86,1.72,8.66,0.08,Very Poor
Delhi,287.95,491.76,52.24,89.64,137.51,64.41,1.92,19.32,121.37,6.93,18.19,2.26,Severe
Delhi,203.67,454.7,100.09,85.2,126.82,44.58,3.56,17.38,30.76,9.43,92.19,2.33,Severe
Kolkata,17.53,38.65,3.69,6.36,10.09,13.03,0.32,5.01,23.07,1.78,5.42,0.24,Good
Amritsar,63.93,74,11.64,13.09,21.26,5.73,0.69,6.07,9.22,1.79,1.47,2,Satisfactory
Patna,116.64,188.1,26.45,50.24,75.08,32.61,1.15,10.77,7.18,1.44,8.04,2.19,Poor
Chandigarh,16.01,33.4,1.04,10.62,6.14,32.19,0.44,7.5,42.81,2.15,0.58,1.04,Good
Visakhapatnam,183.75,294.75,3.65,34.6,21.38,21.7,0.89,19.15,131.03,4.67,7.97,4.05,Very Poor
Delhi,131.14,232.67,4.7,24.6,26.2,26.74,0.98,16.92,97.42,3.97,9.01,1.89,Poor
Amritsar,102.29,121.36,11.06,9.69,19.74,10.06,0.79,10.62,13.19,2.65,1.13,2,Moderate
Hyderabad,27.58,69.15,1.18,25.16,14.28,9.53,0.57,5.94,53.62,0.46,2.02,0.64,Satisfactory
Delhi,180.52,322.74,39.81,65.5,90.48,57.62,1.11,22.55,53.64,1.97,4.7,0.61,Very Poor
Visakhapatnam,19,29,2.38,13.1,8.92,3.28,0.81,3.65,10.03,3.2,9.08,2.02,Good
Kolkata,12.02,21.33,8.76,12.97,21.26,24.34,0.37,2.09,26.2,18.38,11.98,1.54,Good
Visakhapatnam,56.25,131.75,9.03,49.7,33.77,11.12,1.23,33.98,31.73,5.1,9.03,2.65,Moderate
Kolkata,11.33,32.17,3.27,8.53,11.67,8.65,0.36,5.3,16.33,2.3,13.18,0.96,Good
Gurugram,81.08,161.75,8.14,24.92,17.09,33.17,0.76,14.52,33.85,2.92,2.71,2.62,Moderate
Delhi,85.68,151.43,21.24,32.56,50.2,51.06,1.02,18.22,17.14,1.2,3.71,0,Poor
Hyderabad,11,34,4.11,22.57,15.12,9.41,0.15,8.12,12.73,0.31,4.67,0.11,Good
Amritsar,110.98,217.29,50.81,2.81,53.62,0.99,1.42,5.04,17.86,4.46,8.59,15.21,Poor
Visakhapatnam,79.75,137.25,9.87,53.6,36.55,10.98,0.8,6.3,25.45,4.82,18.98,0.92,Moderate
Hyderabad,11.6,21.38,4.32,22.37,15.33,29.6,0.13,4.01,19.29,0.37,1.79,0.08,Good
Kolkata,35.47,64,3.57,15.4,18.76,12.81,0.35,14.48,70.34,11.71,12.57,0.84,Satisfactory
Hyderabad,18.75,48.17,4.27,15.73,11.83,7.48,0.17,6.18,21.77,0.1,0.62,0.03,Good
Delhi,394.43,548.06,62.04,52,104.25,76.05,2.42,14,94.41,4.99,13.59,0.06,Severe
Visakhapatnam,166.5,473,80.45,156.05,148.43,10.3,2.17,23.33,32.95,8.9,15.88,9.47,Very Poor
Delhi,148.04,174.09,14.44,29.84,33.68,76.22,10.65,6.8,29.72,1.82,4.93,5.02,Very Poor
Delhi,64.97,143.66,10.51,16.8,27.15,26.04,6.87,6.96,34.2,2.28,3.84,2.54,Poor
Kolkata,6.57,21.11,7.87,19.99,27.58,8.89,0.46,3.87,10.63,26.26,20.64,1.96,Good
Patna,101.37,166.78,31.78,50.93,82.18,33.62,1.12,12.97,30.44,1.94,6.21,1.69,Poor
Chandigarh,19.87,74.25,1.16,10.23,6.06,111.8,0.5,16.14,4.7,3.92,0.23,0.63,Satisfactory
Delhi,295.12,409.51,117.94,60.28,139.37,51.36,2.04,12.8,22.96,8.72,51.35,2.64,Severe
Amritsar,20.7,73.53,18.77,10.32,29.09,12.35,0.64,8.86,29.66,1.42,1.76,2,Satisfactory
Hyderabad,24.67,76.5,10.76,90.72,63.91,21.58,0.27,3.64,28.3,0.04,0.37,0,Satisfactory
Delhi,292.42,482.83,116,69.36,139.61,52.34,3.5,14.92,35.76,11.18,71.82,2.15,Severe
Delhi,81.59,285.96,12.7,32.62,40.18,59.71,1.06,11.6,52.96,0.93,2.75,0,Very Poor
Delhi,166.73,259.81,43.84,43.33,62.83,41.71,1.2,10.95,16.91,4.9,15.61,0,Very Poor
Delhi,331.08,482.09,20.99,54.09,50.58,61.23,1.57,17.61,51.33,5.97,36.44,1.4,Severe
Delhi,165.51,363.95,26.51,77.14,100.51,48.53,1.49,23.54,123.49,5.87,17.86,0,Severe
Delhi,330.76,538.33,217.38,71.85,254.5,80.31,2.13,16.3,124.05,8.57,31.4,0,Severe
Visakhapatnam,61,136,4.25,32.82,19.15,21.05,1.02,15,58.25,4.05,5.75,2.78,Moderate
Hyderabad,9.2,19.05,1.72,8.55,5.93,7.38,0.17,7.32,16.17,0.08,0.43,0,Good
Amritsar,41.53,168.4,13.06,5.39,27.09,8.64,1.42,2.12,27.59,4.65,1.29,0.81,Moderate
Hyderabad,7.42,4.17,2.45,18.16,11.52,13.1,0.21,8.07,12.82,0.39,1.32,0.03,Good
Hyderabad,27.2,90.8,2.52,22.58,14,22.35,0.39,6.15,24.17,0.43,2.17,0.4,Satisfactory
Hyderabad,13.17,20.25,3.71,14.57,6.46,4.9,0.2,4.92,25.23,0.16,0.97,0.21,Good
Amritsar,1.21,25.62,8.62,9.82,18.16,10.9,0.19,8.58,16,3.58,1.14,13.1,Good
Hyderabad,29.04,45.4,4.06,30.87,19.42,10.18,0.37,13.88,20.3,3.33,33.33,1.46,Good
Hyderabad,31.5,75.75,3.43,14.43,16.45,10.25,0.61,6.4,54.5,0.43,2.71,0.16,Satisfactory
Delhi,150.99,218.45,21.93,36.61,40.02,41.75,1.25,13.45,23.78,2.82,20.03,0.19,Very Poor
Hyderabad,4.75,18.12,3.9,20.69,13.79,21.38,0.18,3.97,13.08,0.42,1.5,0,Good
Delhi,51.2,116.97,5.79,20.13,15.83,25.82,0.55,18.68,89.04,1.48,6.76,0.46,Moderate
Delhi,271.7,433.99,243.64,130.88,258.36,77.69,5.56,34.9,90.26,14.91,54.14,0,Severe
Kolkata,21.92,32.34,9.09,23.35,32.38,13.61,0.63,3.36,5.11,23,14.87,1.76,Good
Amritsar,59.08,233.19,12.8,16.16,23.72,13.45,0.67,7.47,43.57,1.3,1.1,8.81,Moderate
Delhi,42.86,120.06,8.47,22.91,21.62,29.07,0.88,13.04,39.52,1.56,16.18,0,Moderate
Hyderabad,5.25,18.5,11.05,48.52,15.95,9.8,0.01,10.12,15.07,0.12,2.28,0.94,Good
Hyderabad,14.5,34.5,2.24,8.65,3.21,4.62,0.19,5.48,37.78,0.24,0.86,0.35,Good
Kolkata,109.34,242.05,174.37,72.31,240.48,27.64,1.69,8.93,6.06,17.02,25.56,6.2,Poor
Delhi,251.1,384.74,12.89,43.53,49.1,50.41,1.33,13.67,76.55,2.66,5.03,0.07,Severe
Delhi,82.92,147.11,18.9,44.24,39.94,48.41,1.1,17.53,37.14,3.32,22.03,2.28,Poor
Delhi,142.48,192.9,13.59,30.69,35.84,55.68,8.94,7.58,22.94,4.12,8.64,2.91,Very Poor
Visakhapatnam,58.25,112.75,5.75,44.1,28.15,16.38,0.94,7.9,80.55,5.18,9.15,3.1,Moderate
Delhi,81.3,244.8,8.32,29.47,23.66,29.32,0.78,17.62,94.16,2.82,30.34,0.21,Poor
Kolkata,7.46,18.3,6.5,15.64,22.16,10.99,0.39,3.01,28.17,16.75,17.72,1.26,Good
Delhi,411.25,605.85,159.67,62.87,173.82,62.87,3.67,16.25,39.62,14.03,100.98,3.54,Severe
Amritsar,4.63,38.87,13.5,9.19,22.69,10.71,0.25,5.39,5.42,3.21,1.16,2,Good
Kolkata,101.94,213.16,93.98,78.09,169.71,26.29,2.16,6.68,8.86,39.58,46.49,5.76,Poor
Visakhapatnam,74.25,114,2.8,12.15,8.73,14.72,0.61,9.2,102.65,2.75,9.15,0.88,Moderate
Delhi,147.28,304.61,15.46,43.35,50.01,55.37,1.29,30.23,72.16,4.73,3.75,0,Very Poor
Delhi,87.66,251.68,49.49,53.86,88.96,34.72,1.28,14.32,24.78,8.19,8.62,0,Poor
Kolkata,6.82,21.13,3.7,10.16,14.04,8.77,0.38,4.99,13.88,2.06,13.84,1.14,Good
Hyderabad,13.46,39.45,4.47,20.04,11.59,30.91,0.24,7.04,11.09,0.54,2.53,0.19,Good
Chandigarh,7.95,33.97,5.88,11.44,10.91,78.71,0.42,11.27,22.94,3.39,2.27,0.8,Good
Hyderabad,9.8,24.58,3.98,17.38,11.87,7.83,0.18,5.24,8.82,0.35,1.39,0.33,Good
Hyderabad,37.06,53.44,9.48,16.04,14.64,19.24,0.29,6.05,31.08,0.64,2.28,0.02,Satisfactory
Hyderabad,20.54,84.9,1.87,19,11.58,9.7,0.15,5.8,37.61,0.49,2.3,0.34,Satisfactory
Amritsar,10.74,34.75,13.49,9.19,22.68,10.71,0.59,6.6,7.59,3.25,1.15,2,Good
Hyderabad,14.2,41.56,3.45,27.28,17.14,10.22,0.23,3.7,11.9,0.23,2.58,0.25,Good
